year,month,Origincountry,Destinationcountry,BudgetAmount,FiscalYearPeriod
2001,08,Russia,Armenia,0.0,November 2020
,,Russia,Belarus,0.0,December 2020
,,Russia,Georgia,0.0,January 2020
1996,01,Russia,Lithuania,0.0,February 2020
,,Russia,Kazakhstan,0.0,April 2020
,,Russia,Mongolia,0.0,January 2021
,,Senegal,Guinea,0.0,May 2021
1998,07,Serbia,Bosnia & Herzegovina,0.0,June 2021
,,Russia,Ukraine,0.0,July 2021
2020,02,Russia,Uzbekistan,0.0,August 2021
2002,12,Serbia,Bulgaria,0.0,September 2021
2004,07,Serbia,Greece,0.0,October 2021
2006,01,Singapore,"Korea, South",0.0,November 2021
,,Serbia,Montenegro,0.0,December 2021
,,Serbia,Slovenia,0.0,January 2021
2006,01,Serbia,Romania,0.0,February 2021
,,Singapore,Malaysia,0.0,December 2019
2006,02,Singapore,Philippines,0.0,December 2020
,,Singapore,Myanmar,0.0,December 2020
2006,08,Singapore,Thailand,0.0,December 2021
2007,11,Singapore,Taiwan,0.0,December 2022
1976,03,Slovenia,Bosnia & Herzegovina,0.0,December 2023
,,Slovakia,Poland,0.0,December 2020
,,Slovenia,Austria,0.0,December 2021
1996,06,Slovakia,Czech Republic,0.0,December 2022
2004,12,Slovenia,Croatia,0.0,December 2023
,,Slovenia,Italy,0.0,January 2020
,,Slovenia,Serbia,0.0,January 2021
1990,07,South Africa,Angola,0.0,January 2022
,,South Africa,Botswana,0.0,January 2023
1994,10,South Africa,Mauritius,0.0,May 2020
9999,01,South Africa,Lesotho,0.0,June 2020
1996,01,South Africa,Mozambique,0.0,July 2020
,,South Africa,Namibia,0.0,August 2020
,,South Africa,Swaziland,0.0,September 2020
9999,01,South Africa,Zambia,0.0,October 2020
2001,09,South Africa,Zimbabwe,0.0,November 2020
,,South Korea,Argentina,0.0,December 2020
,,South Korea,Chile,0.0,January 2020
2004,01,South Korea,China,0.0,February 2020
,,South Korea,India,0.0,April 2020
2005,06,South Korea,Indonesia,0.0,January 2021
,,South Korea,Malaysia,0.0,May 2021
,,South Korea,Philippines,0.0,June 2021
,,South Korea,Singapore,0.0,July 2021
,,South Korea,Taiwan,0.0,August 2021
,,South Korea,Thailand,0.0,September 2021
,,South Korea,Vietnam,0.0,October 2021
,,South Korea,United States,0.0,November 2021
2006,09,Spain,Algeria,0.0,December 2021
,,Spain,Belgium,0.0,January 2021
,,Spain,Andorra,0.0,February 2021
2007,07,Spain,Austria,0.0,December 2019
2007,05,Spain,Bulgaria,0.0,December 2020
1989,01,Spain,Brazil,0.0,December 2020
,,Spain,Colombia,0.0,December 2021
,,Spain,France,0.0,December 2022
,,Spain,Gibraltar,0.0,December 2023
1995,04,Spain,Ireland,0.0,December 2020
,,Spain,Italy,0.0,December 2021
,,Spain,Morocco,0.0,December 2022
,,Spain,Netherlands,0.0,December 2023
1995,04,Spain,Portugal,0.0,January 2020
,,Spain,Poland,0.0,January 2021
1996,06,Spain,Paraguay,0.0,January 2022
,,Spain,Romania,0.0,January 2023
1998,04,Spain,Russia,0.0,May 2020
1999,03,Spain,Slovakia,0.0,June 2020
,,Spain,Senegal,0.0,July 2020
,,Spain,Sweden,0.0,August 2020
,,Spain,Taiwan,0.0,September 2020
2000,04,Spain,Switzerland,0.0,October 2020
2010,07,Spain,Tunisia,0.0,November 2020
2004,11,Spain (Customs),Algeria,0.0,December 2020
2006,04,Spain (Customs),Andorra,0.0,January 2020
,,Spain,United States,0.0,February 2020
,,Spain (Customs),Belgium,0.0,April 2020
2010,07,Spain (Customs),Austria,0.0,January 2021
2005,09,Spain (Customs),Bulgaria,0.0,May 2021
2005,01,Spain (Customs),Brazil,0.0,June 2021
2006,02,Spain (Customs),Colombia,0.0,July 2021
,,Spain (Customs),France,0.0,August 2021
2007,08,Spain (Customs),Gibraltar,0.0,September 2021
,,Spain (Customs),Ireland,0.0,October 2021
2007,01,Spain (Customs),Italy,0.0,November 2021
,,Spain (Customs),Morocco,0.0,December 2021
2010,07,Spain (Customs),Netherlands,0.0,January 2021
1978,08,Spain (Customs),Paraguay,0.0,February 2021
,,Spain (Customs),Portugal,0.0,December 2019
,,Spain (Customs),Senegal,0.0,December 2020
,,Spain (Customs),Slovakia,0.0,December 2020
,,Spain (Customs),Russia,0.0,December 2021
1990,07,Spain (Customs),Sweden,0.0,December 2022
,,Spain (Customs),Switzerland,0.0,December 2023
2001,07,Sweden,Denmark,0.0,December 2020
1983,01,Spain (Customs),United States,0.0,December 2021
1990,04,Spain (Customs),Taiwan,0.0,December 2022
,,Spain (Customs),Tunisia,0.0,December 2023
,,Switzerland,Austria,0.0,January 2020
1990,10,Sweden,Norway,0.0,January 2021
,,Sweden,Finland,0.0,January 2022
,,Sweden,Morocco,0.0,January 2023
,,Switzerland,France,0.0,May 2020
1990,11,Switzerland,Germany,0.0,June 2020
,,Taiwan,China,0.0,July 2020
1994,02,Taiwan,Ireland,0.0,August 2020
,,Taiwan,Israel,0.0,September 2020
,,Taiwan,Japan,0.0,October 2020
1994,06,Taiwan,Netherlands,0.0,November 2020
,,Taiwan,Malaysia,0.0,December 2020
1995,01,Taiwan,Singapore,0.0,January 2020
1996,04,Taiwan,Philippines,0.0,February 2020
,,Taiwan,Thailand,0.0,April 2020
,,Taiwan,United States,0.0,January 2021
1997,09,Taiwan,Vietnam,0.0,May 2021
,,Thailand,Cambodia,0.0,June 2021
,,Thailand,Australia,0.0,July 2021
,,Thailand,Japan,0.0,August 2021
,,Thailand,Hong Kong,0.0,September 2021
1998,10,Thailand,Laos,0.0,October 2021
,,Thailand,Vietnam,0.0,November 2021
1998,12,Thailand,Singapore,0.0,December 2021
,,Thailand,Philippines,0.0,January 2021
,,Turkey,Turk. Rep. of N. Cyprus,0.0,February 2021
,,Turkey,Georgia,0.0,December 2019
1999,03,United Kingdom HMRC,Belgium,0.0,December 2020
,,United Kingdom HMRC,Bulgaria,0.0,December 2020
,,United Kingdom HMRC,Germany,0.0,December 2021
1997,12,United Kingdom HMRC,France,0.0,December 2022
,,United Kingdom HMRC,Estonia,0.0,December 2023
2000,05,United Kingdom HMRC,Ireland,0.0,December 2020
,,United Kingdom HMRC,Spain,0.0,December 2021
2000,07,United Kingdom HMRC,Italy,0.0,December 2022
,,United Kingdom HMRC,Israel,0.0,December 2023
2001,04,United Kingdom HMRC,Netherlands,0.0,January 2020
,,United Kingdom HMRC,Malta,0.0,January 2021
2002,03,United Kingdom HMRC,Sweden,0.0,January 2022
,,United States,Bahamas,0.0,January 2023
2002,02,United States,Barbados,0.0,May 2020
,,United States,Brazil,0.0,June 2020
2002,12,United States,Canada,0.0,July 2020
2003,04,United States,Denmark,0.0,August 2020
,,United States,China,0.0,September 2020
,,United States,Cayman Islands,0.0,October 2020
2003,03,United States,Iceland,0.0,November 2020
,,United States,El Salvador,0.0,December 2020
,,United States,Germany,0.0,January 2020
2004,07,United States,Jamaica,0.0,February 2020
,,United States,Israel,0.0,April 2020
2004,07,United States,Suriname,0.0,January 2021
,,United States,Panama,0.0,May 2021
2004,08,United States,"Korea, South",0.0,June 2021
2005,01,United States,Netherlands,0.0,July 2021
,,United States,Mexico,0.0,August 2021
2010,07,United States,Taiwan,0.0,September 2021
,,United States (CIF),Bahamas,0.0,October 2021
2004,12,United States (CIF),Barbados,0.0,November 2021
,,United States (CIF),Brazil,0.0,December 2021
,,United States (CIF),Canada,0.0,January 2021
2006,08,United States (CIF),China,0.0,February 2021
,,United States (CIF),Cayman Islands,0.0,December 2019
1977,12,United States (CIF),Denmark,0.0,December 2020
2007,01,United States (CIF),Germany,0.0,December 2020
,,United States (CIF),El Salvador,0.0,December 2021
1983,05,United States (CIF),Jamaica,0.0,December 2022
2007,06,United States (CIF),Iceland,0.0,December 2023
,,United States (CIF),Israel,0.0,December 2020
,,United States (CIF),Panama,0.0,December 2021
2007,11,United States (CIF),Netherlands,0.0,December 2022
,,United States (CIF),"Korea, South",0.0,December 2023
1994,07,United States (CIF),Mexico,0.0,January 2020
,,United States (CIF),Suriname,0.0,January 2021
,,United States (CIF),Taiwan,0.0,January 2022
2005,05,United States (Consumption/Domestic),Bahamas,0.0,January 2023
1986,01,United States (Consumption/Domestic),Canada,0.0,May 2020
1986,01,United States (Consumption/Domestic),Barbados,0.0,June 2020
,,United States (Consumption/Domestic),Brazil,0.0,July 2020
2007,03,United States (Consumption/Domestic),China,0.0,August 2020
,,United States (Consumption/Domestic),Cayman Islands,0.0,September 2020
1985,10,United States (Consumption/Domestic),Denmark,0.0,October 2020
,,United States (Consumption/Domestic),El Salvador,0.0,November 2020
1995,08,United States (Consumption/Domestic),Germany,0.0,December 2020
1996,01,United States (Consumption/Domestic),Iceland,0.0,January 2020
1996,03,United States (Consumption/Domestic),Israel,0.0,February 2020
1995,11,United States (Consumption/Domestic),Jamaica,0.0,April 2020
,,United States (Consumption/Domestic),"Korea, South",0.0,January 2021
1994,01,United States (Consumption/Domestic),Panama,0.0,May 2021
2017,08,United States (Consumption/Domestic),Mexico,0.0,June 2021
1996,06,United States (Consumption/Domestic),Netherlands,0.0,July 2021
,,United States (Consumption/Domestic),Suriname,0.0,August 2021
1996,08,United States (Consumption/Domestic),Taiwan,0.0,September 2021
1997,03,United States (HS 8),Bahamas,0.0,October 2021
1997,04,United States (HS 8),Barbados,0.0,November 2021
,,United States (HS 8),Brazil,0.0,December 2021
1997,01,United States (HS 8),Denmark,0.0,January 2021
,,United States (HS 8),China,0.0,February 2021
1990,05,United States (HS 8),Canada,0.0,December 2019
1994,03,United States (HS 8),Cayman Islands,0.0,December 2020
,,United States (HS 8),Germany,0.0,December 2020
2005,09,United States (HS 8),El Salvador,0.0,December 2021
,,United States (HS 8),Iceland,0.0,December 2022
1997,05,United States (HS 8),"Korea, South",0.0,December 2023
,,United States (HS 8),Jamaica,0.0,December 2020
,,United States (HS 8),Israel,0.0,December 2021
1997,11,United States (HS 8),Panama,0.0,December 2022
,,United States (HS 8),Netherlands,0.0,December 2023
1997,12,United States (HS 8),Mexico,2272.0,January 2020
1997,02,United States (HS 8),Taiwan,0.0,January 2021
,,United States (HS 8),Suriname,0.0,January 2022
2017,08,Uruguay,Punta Pereira (Uruguay),0.0,January 2023
2017,08,Vietnam (BOL),Cambodia,0.0,May 2020
1998,07,Uruguay,Rio Negro (Uruguay),0.0,June 2020
1999,03,Uruguay,Rio Negro (Uruguay),0.0,July 2020
,,Uruguay,Punta Pereira (Uruguay),0.0,August 2020
1992,07,United States (HS 8),Trinidad & Tobago,51.0,September 2020
1999,07,United States (HS 8),Taiwan,0.0,October 2020
1999,12,United States (HS 8),South Africa,0.0,November 2020
,,United States (HS 8),Saudi Arabia,0.0,December 2020
,,United States (HS 8),Philippines,0.0,January 2020
2017,08,United States (HS 8),Mexico,0.0,February 2020
2000,03,United States (HS 8),Israel,0.0,April 2020
,,United States (HS 8),"Korea, South",0.0,January 2021
1998,09,United States (HS 8),Japan,0.0,May 2021
1998,10,United States (HS 8),Hong Kong,0.0,June 2021
,,United States (HS 8),Canada,0.0,July 2021
1980,10,United States (HS 8),Bahamas,135.0,August 2021
,,United States (Consumption/Domestic),Taiwan,0.0,September 2021
2001,07,United States (Consumption/Domestic),Trinidad & Tobago,0.0,October 2021
2001,10,United States (Consumption/Domestic),South Africa,0.0,November 2021
,,United States (Consumption/Domestic),Saudi Arabia,0.0,December 2021
2001,10,United States (Consumption/Domestic),Mexico,0.0,January 2021
2003,03,United States (Consumption/Domestic),Philippines,0.0,February 2021
,,United States (Consumption/Domestic),"Korea, South",0.0,December 2019
2002,02,United States (Consumption/Domestic),Japan,0.0,December 2020
2003,03,United States (Consumption/Domestic),Israel,0.0,December 2020
,,United States (Consumption/Domestic),Hong Kong,0.0,December 2021
,,United States (Consumption/Domestic),Canada,0.0,December 2022
,,United States (Consumption/Domestic),Bahamas,0.0,December 2023
,,United States (CIF),Taiwan,0.0,December 2020
2003,03,United States (CIF),South Africa,0.0,December 2021
,,United States (CIF),Trinidad & Tobago,0.0,December 2022
,,United States (CIF),Mexico,0.0,December 2023
,,United States (CIF),"Korea, South",0.0,January 2020
2002,06,United States (CIF),Philippines,0.0,January 2021
2001,06,United States (CIF),Saudi Arabia,0.0,January 2022
,,United States (CIF),Israel,0.0,January 2023
2002,06,United States (CIF),Hong Kong,0.0,May 2020
,,United States (CIF),Japan,0.0,June 2020
2002,06,United States (CIF),Canada,0.0,July 2020
,,United States (CIF),Bahamas,0.0,August 2020
2003,03,United States,Taiwan,0.0,September 2020
2002,06,United States,Trinidad & Tobago,0.0,October 2020
2002,05,United States,Mexico,0.0,November 2020
,,United States,Philippines,0.0,December 2020
,,United States,Saudi Arabia,0.0,January 2020
,,United States,South Africa,0.0,February 2020
2002,06,United States,Israel,0.0,April 2020
2002,08,United States,Japan,0.0,January 2021
1994,03,United States,"Korea, South",0.0,May 2021
2002,11,United States,Hong Kong,0.0,June 2021
,,United States,Canada,0.0,July 2021
,,United States,Bahamas,0.0,August 2021
1987,07,United Kingdom HMRC,Vietnam,0.0,September 2021
2002,10,United Kingdom HMRC,Nigeria,0.0,October 2021
1983,08,United Kingdom HMRC,Italy,0.0,November 2021
1983,02,United Kingdom HMRC,Spain,0.0,December 2021
,,United Kingdom HMRC,Sweden,0.0,January 2021
2002,12,United Kingdom HMRC,Ireland,0.0,February 2021
1984,12,United Kingdom HMRC,Israel,0.0,December 2019
,,United Kingdom HMRC,Hong Kong,0.0,December 2020
2007,01,United Kingdom HMRC,France,0.0,December 2020
1984,08,United Kingdom HMRC,Germany,0.0,December 2021
,,United Kingdom HMRC,Czech Republic,0.0,December 2022
1984,08,United Kingdom HMRC,Egypt,0.0,December 2023
,,United Kingdom HMRC,Belgium,0.0,December 2020
2002,12,Turkey,Georgia,0.0,December 2021
1987,10,Turkey,Greece,0.0,December 2022
1988,03,Turkey,Qatar,0.0,December 2023
1988,07,Turkey,Rwanda,0.0,January 2020
,,Turkey,Algeria,0.0,January 2021
,,Thailand,New Zealand,0.0,January 2022
,,Thailand,Philippines,0.0,January 2023
,,Thailand,Singapore,2443.43,May 2020
,,Thailand,Taiwan,788.12,June 2020
1987,10,Thailand,Vietnam,5849.1,July 2020
1988,05,Thailand,Laos,180.0,August 2020
1991,10,Thailand,Myanmar,18400.0,September 2020
,,Thailand,Malaysia,11698.2,October 2020
2003,06,Thailand,Hong Kong,4060.0,November 2020
2003,06,Thailand,Japan,7540.0,December 2020
2003,03,Thailand,Australia,36.0,January 2020
,,Thailand,Cambodia,7540.0,February 2020
,,Taiwan,Vietnam,888.52,April 2020
2003,07,Thailand,Argentina,5740.0,January 2021
2003,09,Taiwan,United States,12060.0,May 2021
2003,04,Taiwan,Thailand,0.0,June 2021
2003,10,Taiwan,Philippines,2900.0,July 2021
2003,10,Taiwan,Singapore,3280.0,August 2021
2003,11,Taiwan,Malaysia,4920.0,September 2021
,,Taiwan,Netherlands,12760.0,October 2021
2004,05,Taiwan,"Korea, South",0.0,November 2021
2013,03,Taiwan,Japan,6030.0,December 2021
1992,06,Taiwan,Ireland,12060.0,January 2021
,,Taiwan,Israel,7540.0,February 2021
1992,04,Taiwan,China,12040.0,December 2019
,,Switzerland,United States,7224.0,December 2020
,,Switzerland,Germany,76560.0,December 2020
,,Switzerland,France,67200.0,December 2021
1992,10,Sweden,Finland,15200.0,December 2022
1992,01,Sweden,Norway,12040.0,December 2023
1992,12,Sweden,United States,69120.0,December 2020
,,Spain (Customs),Taiwan,4176.0,December 2021
2017,08,Spain (Customs),United States,69120.0,December 2022
1993,03,Spain (Customs),Vietnam,7550.0,December 2023
,,Sweden,Denmark,7410.0,January 2020
1993,06,Spain (Customs),Switzerland,15100.0,January 2021
,,Spain (Customs),Sweden,34080.0,January 2022
1993,07,Spain (Customs),Russia,69120.0,January 2023
1993,07,Spain (Customs),Saudi Arabia,34560.0,May 2020
,,Spain (Customs),Portugal,4320.0,June 2020
1992,12,Spain (Customs),Poland,1200.0,July 2020
1993,08,Spain (Customs),Netherlands,2408.0,August 2020
1994,03,Spain (Customs),Morocco,18060.0,September 2020
,,Spain (Customs),Italy,69120.0,October 2020
1994,07,Spain (Customs),Ireland,69120.0,November 2020
,,Spain (Customs),Greece,31122.0,December 2020
,,Spain (Customs),France,34080.0,January 2020
,,Spain (Customs),Egypt,3600.0,February 2020
1994,08,Spain (Customs),Croatia,69120.0,April 2020
1994,07,Spain (Customs),Cuba,69120.0,January 2021
1995,08,Spain (Customs),China,69120.0,May 2021
,,Spain (Customs),Bulgaria,34560.0,June 2021
,,Spain (Customs),Argentina,51840.0,July 2021
,,Spain (Customs),Belgium,17280.0,August 2021
,,Spain,United States,34560.0,September 2021
1990,04,Spain,Vietnam,2720.0,October 2021
,,Spain (Customs),Algeria,8800.0,November 2021
,,Spain,Taiwan,4400.0,December 2021
,,Spain,Sweden,63936.0,January 2021
1991,10,Spain,Switzerland,18060.0,February 2021
,,Spain,Saudi Arabia,16800.0,December 2019
1991,04,Spain,Russia,3637.5,December 2020
,,Spain,Poland,12110.0,December 2020
,,Spain,Portugal,3280.0,December 2021
,,Spain,Netherlands,625.0,December 2022
,,Spain,Morocco,3480.0,December 2023
1995,04,Spain,Latvia,7039.87,December 2020
,,Spain,Italy,8505.0,December 2021
,,Spain,Ireland,5800.0,December 2022
1995,08,Spain,Greece,3125.0,December 2023
1996,05,Spain,France,7257.6,January 2020
,,Spain,Egypt,5800.0,January 2021
,,Spain,Croatia,208800.0,January 2022
1996,05,Spain,Cuba,51030.0,January 2023
,,Spain,Bulgaria,5190.0,May 2020
,,Spain,China,6560.0,June 2020
1996,09,Spain,Argentina,7257.6,July 2020
,,Spain,Belgium,4300.0,August 2020
,,Spain,Algeria,3280.0,September 2020
1997,04,South Korea,Vietnam,12110.0,October 2020
,,South Korea,Thailand,12110.0,November 2020
1990,11,South Korea,Taiwan,12110.0,December 2020
,,South Korea,Singapore,12110.0,January 2020
2002,01,South Korea,Philippines,4300.0,February 2020
2002,11,South Korea,Malaysia,0.0,April 2020
,,South Korea,Morocco,1633.5,January 2021
,,South Korea,Pakistan,27930.0,May 2021
,,South Korea,Mexico,0.0,June 2021
1974,03,South Korea,Indonesia,12196.8,July 2021
,,South Korea,Japan,0.0,August 2021
,,South Korea,Israel,29376.0,September 2021
,,South Korea,India,14688.0,October 2021
2004,09,South Korea,China,124027.2,November 2021
,,South Korea,Chile,42480.0,December 2021
,,South Korea,Australia,35370.0,January 2021
2002,09,South Korea,Argentina,11920.0,February 2021
,,South Africa,Zimbabwe,2920.0,December 2019
,,South Africa,Zambia,55413.0,December 2020
,,South Africa,Tanzania,3040.0,December 2020
2003,07,South Africa,Namibia,1490.0,December 2021
,,South Africa,Swaziland,24220.0,December 2022
,,South Africa,Lesotho,17520.0,December 2023
,,South Africa,"Congo, Dem. Rep.",1250.0,December 2020
,,South Africa,Malawi,23360.0,December 2021
,,South Africa,Botswana,3640.0,December 2022
,,Slovenia,Serbia,8760.0,December 2023
2001,06,Slovenia,Montenegro,37260.0,January 2020
2002,09,Slovenia,Macedonia,12420.0,January 2021
,,Slovenia,Croatia,13140.0,January 2022
,,Slovakia,Hungary,3516.0,January 2023
,,Slovakia,Poland,7994.0,May 2020
2004,03,Slovakia,Czech Republic,14064.0,June 2020
2002,02,Slovenia,Austria,22840.0,July 2020
,,Slovenia,Bosnia & Herzegovina,10548.0,August 2020
,,Singapore,Taiwan,8280.0,September 2020
2002,02,Singapore,Philippines,4922.4,October 2020
2002,10,Singapore,Malaysia,3516.0,November 2020
2004,08,Serbia,Romania,894.0,December 2020
,,Serbia,Montenegro,7032.0,January 2020
,,Singapore,"Korea, South",11420.0,February 2020
2003,05,Singapore,China,11420.0,April 2020
,,Serbia,Greece,16560.0,January 2021
2003,04,Serbia,Bulgaria,4140.0,May 2021
,,Russia,Ukraine,16560.0,June 2021
,,Serbia,Bosnia & Herzegovina,11060.0,July 2021
,,Russia,Mongolia,4424.0,August 2021
2004,06,Russia,Kazakhstan,20520.0,September 2021
,,Russia,Lithuania,6350.4,October 2021
,,Russia,Georgia,2520.0,November 2021
2004,08,Russia,Belarus,38080.0,December 2021
2004,12,Russia,Azerbaijan,61560.0,January 2021
,,Romania,Moldova,5530.0,February 2021
2005,10,Russia,Abkhazia,3318.0,December 2019
2005,11,Qatar,Singapore,44240.0,December 2020
,,Portugal,Spain,3414.0,December 2020
2006,11,Qatar,Japan,682.08,December 2021
,,Qatar,Switzerland,1107.8,December 2022
,,Qatar,United Arab Emirates,5640.6,December 2023
2007,08,Romania,Hungary,27650.0,December 2020
,,Portugal,Angola,13641.6,December 2021
,,Poland (Customs),Romania,11078.0,December 2022
2007,08,Poland (Customs),Slovakia,7660.8,December 2023
2002,09,Poland (Customs),United States,6080.0,January 2020
,,Poland (Customs),Lithuania,58400.0,January 2021
,,Poland (Customs),Italy,91861.0,January 2022
2004,08,Poland (Customs),Latvia,81718.56,January 2023
,,Poland (Customs),Germany,17520.0,May 2020
,,Poland (Customs),France,30336.0,June 2020
2016,09,Poland (Customs),Hungary,8280.0,July 2020
,,Poland (Customs),Austria,1875.0,August 2020
,,Poland (Customs),Czech Republic,3520.0,September 2020
2007,01,Poland (Customs),Belarus,2220.0,October 2020
2004,12,Poland,Lithuania,80.0,November 2020
2005,01,Poland,Romania,181.0,December 2020
2004,10,Poland,United States,3330.0,January 2020
,,Poland,Slovakia,12420.0,February 2020
2005,04,Poland,Austria,5280.0,April 2020
2006,06,Poland,Czech Republic,612.0,January 2021
,,Poland,Belarus,10548.0,May 2021
,,Philippines,India,11420.0,June 2021
2004,12,Poland,France,11420.0,July 2021
,,Poland,Germany,11420.0,August 2021
,,Poland,Hungary,73280.0,September 2021
,,Poland,Italy,11420.0,October 2021
2004,12,Poland,Latvia,3750.0,November 2021
,,Peru,Chile,3516.0,December 2021
,,Peru,Duty Free,2190.0,January 2021
2003,03,Netherlands,Switzerland,91600.0,February 2021
,,Netherlands,Senegal,0.0,December 2019
2005,01,Netherlands,Sint Maarten,6652.8,December 2020
2005,03,Netherlands,Slovakia,20580.0,December 2020
2005,05,Netherlands,Slovenia,44000.0,December 2021
,,Netherlands,Sweden,19460.0,December 2022
1997,04,Netherlands,Germany,3360.0,December 2023
2005,05,Netherlands,Ghana,8850.0,December 2020
2006,03,Netherlands,Greece,26611.2,December 2021
2005,07,Netherlands,Hungary,29500.0,December 2022
2005,08,Netherlands,Guyana,21483.0,December 2023
2005,07,Netherlands,Ireland,204.0,January 2020
,,Netherlands,Lithuania,4440.0,January 2021
2006,01,Netherlands,Liberia,12528.0,January 2022
,,Netherlands,Luxembourg,3960.0,January 2023
2006,02,Netherlands,Malta,15360.0,May 2020
2006,02,Netherlands,Panama,5440.0,June 2020
2006,06,Netherlands,Poland,2960.0,July 2020
2006,09,Netherlands,Portugal,15360.0,August 2020
2006,09,Netherlands,Romania,75500.0,September 2020
2009,02,Luxembourg,Germany,70044.0,October 2020
,,Lithuania,Russia,25401.6,November 2020
2007,05,Luxembourg,Belgium,55036.8,December 2020
,,Lithuania,Estonia,2448.0,January 2020
2007,03,Lithuania,Germany,2376.0,February 2020
2007,02,Lithuania,Latvia,5920.0,April 2020
2007,02,Malaysia,Myanmar,8112.0,January 2021
2007,05,Malaysia,New Zealand,29445.0,May 2021
2007,06,Malaysia,Brunei Darussalam,8160.0,June 2021
2007,06,Kenya,Uganda,3960.0,July 2021
2007,06,Latvia,Estonia,6656.0,August 2021
2007,07,Latvia,Lithuania,256.0,September 2021
,,Kenya,Tanzania,53760.0,October 2021
2007,07,Kenya,Rwanda,44800.0,November 2021
2007,11,Kenya,"Congo, Dem. Rep.",2960.0,December 2021
2007,11,Kenya,Ethiopia,8550.0,January 2021
2002,07,Kenya,Malawi,45600.0,February 2021
,,Kenya,Burundi,3408.0,December 2019
2006,01,Japan,United States,12528.0,December 2020
,,Japan,Vietnam,3960.0,December 2020
,,Malaysia,Solomon Islands,1632.0,December 2021
1991,12,Malaysia,Singapore,20520.0,December 2022
,,Malta,Libya,6320.0,December 2023
,,Mexico,United States,6020.0,December 2020
2002,10,Netherlands,Austria,8704.0,December 2021
,,Netherlands,Belgium,2640.0,December 2022
,,Netherlands,Burkina Faso,4320.0,December 2023
2005,11,Netherlands,Cote d Ivoire,12960.0,January 2020
2009,12,Netherlands,Cyprus,19935.6,January 2021
1996,06,Netherlands,Czech Republic,8640.0,January 2022
,,Netherlands,Denmark,17280.0,January 2023
2009,12,Netherlands,Estonia,17280.0,May 2020
1996,04,Netherlands,Dominican Republic,37380.0,June 2020
,,Netherlands,Ethiopia,29445.0,July 2020
,,Netherlands,Finland,4939.2,August 2020
,,Netherlands,France,1480.0,September 2020
2002,12,Netherlands,Gabon,3600.0,October 2020
2004,12,Japan,Thailand,5644.8,November 2020
2005,11,Japan,Philippines,29445.0,December 2020
,,Japan,Morocco,11460.0,January 2020
,,Japan,Malaysia,2822.4,February 2020
2017,01,Japan,"Korea, South",22920.0,April 2020
,,Japan,China,3600.0,January 2021
2004,10,Japan,India,0.0,May 2021
,,Japan,Indonesia,11460.0,June 2021
2007,06,Japan,Bangladesh,11460.0,July 2021
2002,06,Japan,Chile,5644.8,August 2021
2001,06,Italy Istat,Switzerland,1480.0,September 2021
,,Italy Istat,Pakistan,8800.0,October 2021
2002,06,Italy Istat,Poland,2808.0,November 2021
,,Italy Istat,Portugal,8352.0,December 2021
2002,06,Italy Istat,Slovenia,2592.0,January 2021
,,Italy Istat,Spain,3600.0,February 2021
2003,03,Italy,Slovenia,3600.0,December 2019
2002,06,Italy,Spain,3600.0,December 2020
2002,05,Italy,Switzerland,16704.0,December 2020
,,Italy Istat,Austria,2492.0,December 2021
,,Italy Istat,Algeria,256.0,December 2022
,,Italy Istat,Croatia,39360.0,December 2023
2002,06,Italy Istat,France,6160.0,December 2020
2002,08,Italy Istat,Ethiopia,27440.0,December 2021
1994,03,Italy Istat,Germany,10584.0,December 2022
2002,11,Italy Istat,Hungary,17190.0,December 2023
,,Italy Istat,Hong Kong,55036.8,January 2020
,,Italy Istat,Ireland,53760.0,January 2021
1987,07,Italy Istat,Netherlands,4176.0,January 2022
2002,10,Italy Istat,Malta,5488.0,January 2023
1983,08,Italy,Algeria,1950.0,May 2020
1983,02,Italy,Austria,49.0,June 2020
,,Ireland (Customs),United States,5850.0,July 2020
2002,12,Ireland (Customs),Northern Ireland,1950.0,August 2020
1984,12,Ireland (Customs),Taiwan,34560.0,September 2020
,,Italy,Croatia,1950.0,October 2020
2007,01,Italy,France,8960.0,November 2020
1984,08,Italy,Ethiopia,5960.0,December 2020
,,Italy,Ireland,11360.0,January 2020
1984,08,Italy,Germany,10368.0,February 2020
,,Italy,Hong Kong,23587.2,April 2020
2002,12,Italy,Hungary,2744.0,January 2021
1987,10,Italy,Netherlands,34560.0,May 2021
1988,03,Italy,Pakistan,62244.0,June 2021
1988,07,Italy,Malta,9435.0,July 2021
,,Italy,Poland,16464.0,August 2021
,,Italy,Portugal,35840.0,September 2021
,,Ireland,United Kingdom,34560.0,October 2021
,,Ireland,United States,1360.0,November 2021
,,Ireland (Customs),Israel,705.6,December 2021
1987,10,India,United States,4080.0,January 2021
1988,05,India,Tanzania,1360.0,February 2021
1991,10,India,Swaziland,4050.0,December 2019
,,India,Sudan,70400.0,December 2020
2003,06,India,Sri Lanka,13120.0,December 2020
2003,06,India,Somalia,1420.0,December 2021
2003,03,India,Senegal,5396.0,December 2022
,,India,Mauritania,17324.0,December 2023
,,India,Madagascar,34560.0,December 2020
2003,07,India,Kuwait,4080.0,December 2021
2003,09,India,Kenya,3960.0,December 2022
2003,04,India,Jordan,5730.0,December 2023
2003,10,India,Ghana,36000.0,January 2020
2003,10,India,Indonesia,36000.0,January 2021
2003,11,India,Cote d Ivoire,6320.0,January 2022
