Production date,Origin and Destination country,Project Name,Amount
,Malaysia:Papua New Guinea,<Actual> January (QTD) (FY2021),"3 612,00"
,Malaysia:Myanmar,<Actual>February (QTD) (FY2021),"1 896,00"
,Malaysia:Brunei Darussalam,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"22 932,00"
,Kenya:Uganda,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"6 480,00"
,Latvia:Hungary,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"3 960,00"
1999年10月,Latvia:Lithuania,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"1 780,00"
,Kenya:Tanzania,<Submitted Budget(Dec)> FY2022_Plan (Annual),600
2000年02月,Kenya:Rwanda,<Submitted Budget(Dec)> FY2023_Plan (Annual),"8 352,00"
,Kenya:Ethiopia,<Final Budget(Dec)> FY2020_Final Budget (Annual),"18 320,00"
,Kenya:Malawi,<Final Budget(Dec)> FY2021_Final Budget (Annual),"4 400,00"
,Japan:Vietnam,<Final Budget(Dec)> FY2022_Plan (Annual),"4 176,00"
,Kazakhstan:Tajikistan,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"1 780,00"
,Malaysia:Singapore,<Final Budget(Apr)> FY2020_Final Budget (Annual),"280,8"
,Malaysia:Sri Lanka,<Final Budget(Apr)> FY2021_Final Budget (Annual),"2 160,00"
,Mexico:Guatemala,<Final Budget(Apr)> FY2022_Plan (Annual),"15 100,00"
1962年02月,Mexico:United States,<Final Budget(Apr)> FY2023_Plan (Annual),"3 960,00"
1970年03月,Morocco:Mauritania,<Actual> May (QTD) (FY2020),"3 960,00"
1969年10月,Netherlands:Austria,<Actual> June (QTD) (FY2020),"3 560,00"
1970年10月,Netherlands:Barbados,<Actual> July (QTD) (FY2020),"1 896,00"
,Netherlands:Belgium,<Actual> August (QTD) (FY2020),"1 204,00"
,Netherlands:Bulgaria,<Actual> September (QTD) (FY2020),"1 896,00"
,Netherlands:Burkina Faso,<Actual> October (QTD) (FY2020),"2 408,00"
,Netherlands:Cyprus,<Actual> November (QTD) (FY2020),204
,Netherlands:Croatia,<Actual> December (QTD) (FY2020),"1 632,00"
,Netherlands:Cote d Ivoire,<Actual> January (QTD) (FY2020),204
,Netherlands:Denmark,<Actual> February (QTD) (FY2020),768
,Netherlands:Dominican Republic,<Actual> March (QTD) (FY2020),"1 616,40"
,Netherlands:Ethiopia,<Actual> April (QTD) (FY2021),"3 560,00"
,Netherlands:EU Suppression,<Actual> May (QTD) (FY2021),"3 560,00"
,Netherlands:Finland,<Actual> June (QTD) (FY2021),"3 528,00"
,Netherlands:France,<Actual> July (QTD) (FY2021),"3 438,00"
,Netherlands:Gabon,<Actual> August (QTD) (FY2021),200
2002年12月,Japan:Thailand,<Actual> September (QTD) (FY2021),272
,Japan:Taiwan,<Actual> October (QTD) (FY2021),204
1963年07月,Japan:Philippines,<Actual> November (QTD) (FY2021),"3 775,00"
2002年08月,Japan:Singapore,<Actual> December (QTD) (FY2021),760
,Japan:Malaysia,<Actual> January (QTD) (FY2021),"4 176,00"
,"Japan:Korea, South",<Actual>February (QTD) (FY2021),"1 693,44"
2002年08月,Japan:India,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"1 020,00"
,Japan:Indonesia,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"3 438,00"
2002年12月,Italy Istat:United Kingdom,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"1 411,20"
2002年09月,Italy Istat:Turkey,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"4 176,00"
,Japan:Chile,<Submitted Budget(Dec)> FY2022_Plan (Annual),"3 160,00"
,Italy Istat:Spain,<Submitted Budget(Dec)> FY2023_Plan (Annual),"3 612,00"
,Italy Istat:Switzerland,<Final Budget(Dec)> FY2020_Final Budget (Annual),"4 050,00"
2003年03月,Italy Istat:Pakistan,<Final Budget(Dec)> FY2021_Final Budget (Annual),"34 560,00"
,Italy Istat:Portugal,<Final Budget(Dec)> FY2022_Plan (Annual),"1 056,00"
,Italy Istat:Romania,<Final Budget(2020 Dec)> FY2023_Plan (Annual),584
,Italy Istat:Slovenia,<Final Budget(Apr)> FY2020_Final Budget (Annual),894
,Italy:Romania,<Final Budget(Apr)> FY2021_Final Budget (Annual),"5 488,00"
,Italy:Slovenia,<Final Budget(Apr)> FY2022_Plan (Annual),"11 360,00"
,Italy:Spain,<Final Budget(Apr)> FY2023_Plan (Annual),"22 720,00"
1973年02月,Italy:Switzerland,<Actual> May (QTD) (FY2020),"1 596,00"
2003年03月,Italy:Turkey,<Actual> June (QTD) (FY2020),"2 775,00"
1999年04月,Italy:United Kingdom,<Actual> July (QTD) (FY2020),"34 560,00"
1975年12月,Italy Istat:Austria,<Actual> August (QTD) (FY2020),"11 920,00"
2002年12月,Italy Istat:Croatia,<Actual> September (QTD) (FY2020),"2 744,00"
,Italy Istat:Cyprus,<Actual> October (QTD) (FY2020),"2 040,00"
,Italy Istat:France,<Actual> November (QTD) (FY2020),596
,Italy Istat:Germany,<Actual> December (QTD) (FY2020),272
,Italy Istat:Greece,<Actual> January (QTD) (FY2020),"7 786,00"
1968年05月,Italy Istat:Intra EU Stores & Provisions,<Actual> February (QTD) (FY2020),"1 374,00"
,Italy Istat:Ireland,<Actual> March (QTD) (FY2020),364
1975年05月,Italy Istat:Netherlands,<Actual> April (QTD) (FY2021),"4 400,00"
1987年06月,Italy Istat:Malta,<Actual> May (QTD) (FY2021),248
1984年10月,Italy:Austria,<Actual> June (QTD) (FY2021),"1 264,00"
1967年04月,Ireland (Customs):Taiwan,<Actual> July (QTD) (FY2021),"2 408,00"
,Ireland (Customs):Northern Ireland,<Actual> August (QTD) (FY2021),"8 352,00"
,Italy:Croatia,<Actual> September (QTD) (FY2021),"2 116,80"
,Italy:Cyprus,<Actual> October (QTD) (FY2021),"3 528,00"
1990年12月,Italy:France,<Actual> November (QTD) (FY2021),"1 411,20"
,Italy:Germany,<Actual> December (QTD) (FY2021),"1 411,20"
,Italy:Greece,<Actual> January (QTD) (FY2021),544
,Italy:Ireland,<Actual>February (QTD) (FY2021),"1 411,20"
2011年04月,Italy:Intra EU Stores & Provisions,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"4 400,00"
2003年12月,Italy:Netherlands,<Submitted Budget(Dec)> FY2020_Prospect (Annual),612
2004年01月,Italy:Malta,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"2 292,00"
,Italy:Pakistan,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"1 411,20"
,Italy:Portugal,<Submitted Budget(Dec)> FY2022_Plan (Annual),"12 528,00"
,Ireland:United Kingdom,<Submitted Budget(Dec)> FY2023_Plan (Annual),560
2011年11月,India:United States,<Final Budget(Dec)> FY2020_Final Budget (Annual),"8 640,00"
,India:United Arab Emirates,<Final Budget(Dec)> FY2021_Final Budget (Annual),"1 896,00"
2005年07月,India:Togo,<Final Budget(Dec)> FY2022_Plan (Annual),"2 408,00"
,India:Thailand,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"2 592,00"
,India:Tanzania,<Final Budget(Apr)> FY2020_Final Budget (Annual),600
,India:Sri Lanka,<Final Budget(Apr)> FY2021_Final Budget (Annual),"2 730,00"
,India:South Africa,<Final Budget(Apr)> FY2022_Plan (Annual),"3 412,50"
,India:Qatar,<Final Budget(Apr)> FY2023_Plan (Annual),"2 000,00"
,India:Senegal,<Actual> May (QTD) (FY2020),"3 160,00"
2004年09月,India:Indonesia,<Actual> June (QTD) (FY2020),"1 360,00"
2004年10月,India:Ghana,<Actual> July (QTD) (FY2020),584
,India:Guinea,<Actual> August (QTD) (FY2020),"1 168,00"
,India:Fiji,<Actual> September (QTD) (FY2020),"2 336,00"
2005年01月,India:Ethiopia,<Actual> October (QTD) (FY2020),"4 816,00"
2006年08月,India:Dominican Republic,<Actual> November (QTD) (FY2020),612
,India:Cote d Ivoire,<Actual> December (QTD) (FY2020),"2 840,00"
,India:Myanmar,<Actual> January (QTD) (FY2020),"4 320,00"
,India:Nepal,<Actual> February (QTD) (FY2020),"2 408,00"
2006年09月,India:Nigeria,<Actual> March (QTD) (FY2020),"2 528,00"
2007年05月,India:Rwanda,<Actual> April (QTD) (FY2021),"7 280,00"
,India:Puerto Rico (U.S.),<Actual> May (QTD) (FY2021),612
,Hungary:Austria,<Actual> June (QTD) (FY2021),300
2002年12月,Guatemala:Honduras,<Actual> July (QTD) (FY2021),"11 360,00"
2007年08月,Guatemala:El Salvador,<Actual> August (QTD) (FY2021),"1 896,00"
1983年12月,Guatemala:Costa Rica,<Actual> September (QTD) (FY2021),816
1988年04月,Hungary:Bulgaria,<Actual> October (QTD) (FY2021),"3 560,00"
1989年09月,Hungary:Greece,<Actual> November (QTD) (FY2021),0
,Hungary:Moldova,<Actual> December (QTD) (FY2021),"267,3"
1990年04月,Greece:Germany,<Actual> January (QTD) (FY2021),592
,Greece:Macedonia,<Actual>February (QTD) (FY2021),"29,9"
1994年08月,Greece:Pakistan,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"29,9"
,Greece:Philippines,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"5 000,00"
,Greece:Cyprus,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"1 250,00"
1995年03月,Germany (Customs):Vietnam,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),80
,Greece:Albania,<Submitted Budget(Dec)> FY2022_Plan (Annual),"16 560,00"
,Ghana:Burkina Faso,<Submitted Budget(Dec)> FY2023_Plan (Annual),"3 750,00"
,Hungary:Poland,<Final Budget(Dec)> FY2020_Final Budget (Annual),"3 040,00"
1996年08月,Hungary:Romania,<Final Budget(Dec)> FY2021_Final Budget (Annual),"7 600,00"
,Hungary:Serbia,<Final Budget(Dec)> FY2022_Plan (Annual),"1 900,00"
,Hungary:Slovakia,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"1 900,00"
1998年04月,Hungary:Slovenia,<Final Budget(Apr)> FY2020_Final Budget (Annual),"3 800,00"
,Hungary:Switzerland,<Final Budget(Apr)> FY2021_Final Budget (Annual),"3 800,00"
1994年04月,India:Bangladesh,<Final Budget(Apr)> FY2022_Plan (Annual),"9 500,00"
,India:Bhutan,<Final Budget(Apr)> FY2023_Plan (Annual),"9 500,00"
,India:Benin,<Actual> May (QTD) (FY2020),"133 095,00"
,India:Cameroon,<Actual> June (QTD) (FY2020),"34 560,00"
,Germany (Customs):United States,<Actual> July (QTD) (FY2020),0
,Germany (Customs):Uruguay,<Actual> August (QTD) (FY2020),"3 637,50"
1994年05月,Germany (Customs):United Kingdom,<Actual> September (QTD) (FY2020),"5 474,00"
,Germany (Customs):United Arab Emirates,<Actual> October (QTD) (FY2020),"3 637,50"
,Germany (Customs):Turkey,<Actual> November (QTD) (FY2020),"2 900,00"
1994年09月,Germany (Customs):Thailand,<Actual> December (QTD) (FY2020),"92 736,00"
1995年10月,Germany (Customs):Taiwan,<Actual> January (QTD) (FY2020),"12 096,00"
1998年10月,Germany (Customs):Switzerland,<Actual> February (QTD) (FY2020),"3 480,00"
1999年01月,Germany (Customs):Spain,<Actual> March (QTD) (FY2020),"16 128,00"
2001年02月,Germany (Customs):Sri Lanka,<Actual> April (QTD) (FY2021),0
,Germany (Customs):Sweden,<Actual> May (QTD) (FY2021),"1 944,00"
1986年09月,Germany (Customs):South Africa,<Actual> June (QTD) (FY2021),972
,Germany (Customs):Slovenia,<Actual> July (QTD) (FY2021),"74 520,00"
,Germany (Customs):Slovakia,<Actual> August (QTD) (FY2021),"103 500,00"
1987年06月,Germany (Customs):Singapore,<Actual> September (QTD) (FY2021),"10 350,00"
,Germany (Customs):Serbia,<Actual> October (QTD) (FY2021),"16 560,00"
,Germany (Customs):Russia,<Actual> November (QTD) (FY2021),"16 560,00"
,Germany (Customs):Romania,<Actual> December (QTD) (FY2021),"16 560,00"
2003年04月,Germany (Customs):Portugal,<Actual> January (QTD) (FY2021),"103 500,00"
,Germany (Customs):Poland,<Actual>February (QTD) (FY2021),"20 700,00"
,Germany (Customs):Norway,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"12 420,00"
2003年08月,Germany (Customs):Peru,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"37,32"
,Germany (Customs):New Zealand,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),408
,Germany (Customs):Netherlands,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"4 140,00"
2004年12月,Germany (Customs):Morocco,<Submitted Budget(Dec)> FY2022_Plan (Annual),"8 280,00"
,Germany (Customs):Malaysia,<Submitted Budget(Dec)> FY2023_Plan (Annual),"37 800,00"
2006年10月,Germany (Customs):Mali,<Final Budget(Dec)> FY2020_Final Budget (Annual),"136 537,20"
,Germany (Customs):Macedonia,<Final Budget(Dec)> FY2021_Final Budget (Annual),"8 031,84"
,Germany (Customs):Luxembourg,<Final Budget(Dec)> FY2022_Plan (Annual),"16 000,00"
2008年03月,Germany (Customs):Lithuania,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"3 888,00"
,Germany (Customs):Latvia,<Final Budget(Apr)> FY2020_Final Budget (Annual),"12 600,00"
2006年09月,"Germany (Customs):Korea, South",<Final Budget(Apr)> FY2021_Final Budget (Annual),"207 000,00"
2006年12月,Germany (Customs):Kuwait,<Final Budget(Apr)> FY2022_Plan (Annual),"20 700,00"
,Germany (Customs):Japan,<Final Budget(Apr)> FY2023_Plan (Annual),"33 120,00"
2004年09月,Germany (Customs):Italy,<Actual> May (QTD) (FY2020),"12 420,00"
1995年10月,Germany (Customs):Ireland,<Actual> June (QTD) (FY2020),"12 420,00"
,Germany (Customs):Israel,<Actual> July (QTD) (FY2020),"16 560,00"
,Germany (Customs):India,<Actual> August (QTD) (FY2020),"8 280,00"
,Germany (Customs):Hong Kong,<Actual> September (QTD) (FY2020),"16 560,00"
,Germany (Customs):Hungary,<Actual> October (QTD) (FY2020),"20 700,00"
,Germany (Customs):Greece,<Actual> November (QTD) (FY2020),"28 396,00"
1996年01月,Germany (Customs):Guatemala,<Actual> December (QTD) (FY2020),"2 290,00"
,Germany (Customs):France,<Actual> January (QTD) (FY2020),80
,Germany (Customs):Finland,<Actual> February (QTD) (FY2020),"8 280,00"
,Germany (Customs):Estonia,<Actual> March (QTD) (FY2020),"8 352,00"
,Germany (Customs):Egypt,<Actual> April (QTD) (FY2021),"20 880,00"
,Germany (Customs):Denmark,<Actual> May (QTD) (FY2021),"34 560,00"
,Germany (Customs):Ecuador,<Actual> June (QTD) (FY2021),"34 560,00"
1996年06月,Germany (Customs):Czech Republic,<Actual> July (QTD) (FY2021),"34 560,00"
,Germany (Customs):Cyprus,<Actual> August (QTD) (FY2021),408
1997年01月,Germany (Customs):Colombia,<Actual> September (QTD) (FY2021),"2 640,00"
2001年06月,Germany (Customs):China,<Actual> October (QTD) (FY2021),"69 120,00"
1995年02月,Germany (Customs):Bulgaria,<Actual> November (QTD) (FY2021),"414 000,00"
,Germany (Customs):Cameroon,<Actual> December (QTD) (FY2021),"5 280,00"
1996年12月,Germany (Customs):Canada,<Actual> January (QTD) (FY2021),"69 120,00"
,Germany (Customs):Chile,<Actual>February (QTD) (FY2021),"10 560,00"
,Germany (Customs):Belgium,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"12 528,00"
,Germany (Customs):Brazil,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"140,4"
2001年12月,Germany (Customs):Austria,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"12 528,00"
,Germany (Customs):Bangladesh,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"73 280,00"
2003年12月,Germany (Customs):Australia,<Submitted Budget(Dec)> FY2022_Plan (Annual),"18 320,00"
2006年08月,Germany:United Arab Emirates,<Submitted Budget(Dec)> FY2023_Plan (Annual),"18 320,00"
,Germany:United Kingdom,<Final Budget(Dec)> FY2020_Final Budget (Annual),"29 770,00"
,Germany:Vietnam,<Final Budget(Dec)> FY2021_Final Budget (Annual),"69 120,00"
,Germany:Uruguay,<Final Budget(Dec)> FY2022_Plan (Annual),"1 632,00"
2006年06月,Germany:United States,<Final Budget(2020 Dec)> FY2023_Plan (Annual),304
,Germany:Philippines,<Final Budget(Apr)> FY2020_Final Budget (Annual),"43 510,00"
,Germany:Poland,<Final Budget(Apr)> FY2021_Final Budget (Annual),"18 320,00"
2007年05月,Germany:Portugal,<Final Budget(Apr)> FY2022_Plan (Annual),"8 352,00"
2007年08月,Germany:Qatar,<Final Budget(Apr)> FY2023_Plan (Annual),"51 840,00"
2008年02月,Germany:Romania,<Actual> May (QTD) (FY2020),"366 400,00"
,Germany:Russia,<Actual> June (QTD) (FY2020),"36 640,00"
,Germany:Saudi Arabia,<Actual> July (QTD) (FY2020),"8 352,00"
,Germany:Serbia,<Actual> August (QTD) (FY2020),"538,8"
2008年03月,Germany:Singapore,<Actual> September (QTD) (FY2020),864
1993年01月,Germany:Slovakia,<Actual> October (QTD) (FY2020),"17 250,00"
1995年03月,Germany:Slovenia,<Actual> November (QTD) (FY2020),"12 528,00"
,Germany:South Africa,<Actual> December (QTD) (FY2020),"8 352,00"
,Germany:Spain,<Actual> January (QTD) (FY2020),"8 352,00"
2005年04月,Germany:Sweden,<Actual> February (QTD) (FY2020),"6 020,00"
,Germany:Sri Lanka,<Actual> March (QTD) (FY2020),"8 232,00"
,Germany:Switzerland,<Actual> April (QTD) (FY2021),"10 976,00"
,Germany:Taiwan,<Actual> May (QTD) (FY2021),"2 891,00"
,Germany:Thailand,<Actual> June (QTD) (FY2021),"8 232,00"
,Germany:Turkey,<Actual> July (QTD) (FY2021),"7 600,00"
,Germany:Chile,<Actual> August (QTD) (FY2021),"7 600,00"
,Germany:China,<Actual> September (QTD) (FY2021),"2 040,00"
2006年12月,Germany:Colombia,<Actual> October (QTD) (FY2021),"2 040,00"
,Germany:Cyprus,<Actual> November (QTD) (FY2021),"104 400,00"
9999年01月,Germany:Croatia,<Actual> December (QTD) (FY2021),"11 100,00"
2007年01月,Germany:Czech Republic,<Actual> January (QTD) (FY2021),"14 800,00"
2007年10月,Germany:Denmark,<Actual>February (QTD) (FY2021),"11 360,00"
,Germany:Ecuador,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"6 412,00"
,Germany:Estonia,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"6 412,00"
,Germany:Egypt,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"22 200,00"
,Germany:Finland,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"7 600,00"
2007年11月,Germany:France,<Submitted Budget(Dec)> FY2022_Plan (Annual),"2 748,00"
,Germany:Greece,<Submitted Budget(Dec)> FY2023_Plan (Annual),"7 600,00"
2007年11月,Germany:Guatemala,<Final Budget(Dec)> FY2020_Final Budget (Annual),"3 800,00"
,Germany:Hong Kong,<Final Budget(Dec)> FY2021_Final Budget (Annual),"3 800,00"
,Germany:Hungary,<Final Budget(Dec)> FY2022_Plan (Annual),"11 100,00"
,Germany:India,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"2 748,00"
,Germany:Ireland,<Final Budget(Apr)> FY2020_Final Budget (Annual),"7 600,00"
,Germany:Israel,<Final Budget(Apr)> FY2021_Final Budget (Annual),"6 840,00"
2006年12月,Germany:Italy,<Final Budget(Apr)> FY2022_Plan (Annual),"22 200,00"
1995年07月,Germany:Japan,<Final Budget(Apr)> FY2023_Plan (Annual),"17 760,00"
,"Germany:Korea, South",<Actual> May (QTD) (FY2020),"18 500,00"
,Germany:Latvia,<Actual> June (QTD) (FY2020),"16 465,00"
1996年02月,Germany:Kuwait,<Actual> July (QTD) (FY2020),740
,Germany:Lithuania,<Actual> August (QTD) (FY2020),"40 334,00"
,Germany:Luxembourg,<Actual> September (QTD) (FY2020),"18 500,00"
,Germany:Macedonia,<Actual> October (QTD) (FY2020),"92 220,00"
,Germany:Malaysia,<Actual> November (QTD) (FY2020),"8 400,00"
1996年11月,Germany:Mali,<Actual> December (QTD) (FY2020),"7 400,00"
,Germany:Mexico,<Actual> January (QTD) (FY2020),"6 412,00"
,Germany:Morocco,<Actual> February (QTD) (FY2020),"4 000,00"
1998年08月,Germany:Netherlands,<Actual> March (QTD) (FY2020),"17 760,00"
,Germany:New Zealand,<Actual> April (QTD) (FY2021),"24 790,00"
2004年05月,Germany:Peru,<Actual> May (QTD) (FY2021),"22 800,00"
,Germany:Norway,<Actual> June (QTD) (FY2021),"22 800,00"
2004年05月,France (Customs):United Kingdom,<Actual> July (QTD) (FY2021),"1 480,00"
,France (Customs):Uruguay,<Actual> August (QTD) (FY2021),"4 000,00"
,France (Customs):Turkey,<Actual> September (QTD) (FY2021),"20 720,00"
,France (Customs):Tunisia,<Actual> October (QTD) (FY2021),"28 800,00"
,France (Customs):Sweden,<Actual> November (QTD) (FY2021),"28 800,00"
,France (Customs):Switzerland,<Actual> December (QTD) (FY2021),"22 800,00"
,France (Customs):Spain,<Actual> January (QTD) (FY2021),"22 800,00"
,France (Customs):Slovenia,<Actual>February (QTD) (FY2021),"52 800,00"
,France (Customs):Singapore,<Submitted Budget(Dec)> FY2019_Prospect (Annual),800
,Germany:Argentina,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"17 920,00"
2001年12月,Germany:Australia,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),800
,Germany:Austria,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"15 200,00"
,Germany:Bangladesh,<Submitted Budget(Dec)> FY2022_Plan (Annual),"1 600,00"
,Germany:Belgium,<Submitted Budget(Dec)> FY2023_Plan (Annual),"1 531,20"
2003年09月,Germany:Belarus,<Final Budget(Dec)> FY2020_Final Budget (Annual),"1 206,00"
,Germany:Brazil,<Final Budget(Dec)> FY2021_Final Budget (Annual),"3 360,00"
,Germany:Bulgaria,<Final Budget(Dec)> FY2022_Plan (Annual),"1 600,00"
2003年09月,Germany:Cameroon,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"2 080,00"
,Germany:Canada,<Final Budget(Apr)> FY2020_Final Budget (Annual),"1 944,00"
,France (Customs):Senegal,<Final Budget(Apr)> FY2021_Final Budget (Annual),"14 700,00"
,France (Customs):Saudi Arabia,<Final Budget(Apr)> FY2022_Plan (Annual),"9 030,00"
2003年09月,France (Customs):Sierra Leone,<Final Budget(Apr)> FY2023_Plan (Annual),"5 250,00"
,France (Customs):Romania,<Actual> May (QTD) (FY2020),"5 250,00"
,France (Customs):Poland,<Actual> June (QTD) (FY2020),"9 030,00"
2004年09月,France (Customs):Portugal,<Actual> July (QTD) (FY2020),"25 200,00"
2004年11月,France (Customs):Netherlands,<Actual> August (QTD) (FY2020),"9 800,00"
,France (Customs):New Caledonia,<Actual> September (QTD) (FY2020),"18 060,00"
,France (Customs):Morocco,<Actual> October (QTD) (FY2020),"29 400,00"
2004年10月,France (Customs):Luxembourg,<Actual> November (QTD) (FY2020),"2 625,00"
2006年12月,France (Customs):Italy,<Actual> December (QTD) (FY2020),"30 720,00"
,France (Customs):Libya,<Actual> January (QTD) (FY2020),"1 836,00"
,France (Customs):Kuwait,<Actual> February (QTD) (FY2020),"11 200,00"
2005年10月,France (Customs):Ireland,<Actual> March (QTD) (FY2020),"5 508,00"
,France (Customs):Israel,<Actual> April (QTD) (FY2021),"18 400,00"
2006年10月,France (Customs):Hungary,<Actual> May (QTD) (FY2021),774
2002年04月,France (Customs):Guinea,<Actual> June (QTD) (FY2021),36
2005年04月,France (Customs):Germany,<Actual> July (QTD) (FY2021),"3 637,50"
,France (Customs):French Polynesia,<Actual> August (QTD) (FY2021),228
,France (Customs):Finland,<Actual> September (QTD) (FY2021),"1 080,00"
,France (Customs):Faroe Islands,<Actual> October (QTD) (FY2021),"18 400,00"
,France (Customs):Djibouti,<Actual> November (QTD) (FY2021),"12 000,00"
,France (Customs):Denmark,<Actual> December (QTD) (FY2021),"6 120,00"
,France (Customs):Czech Republic,<Actual> January (QTD) (FY2021),"3 190,00"
2007年01月,France (Customs):Cameroon,<Actual>February (QTD) (FY2021),"1 640,00"
,France (Customs):Belgium,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"4 640,00"
,France (Customs):Belarus,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"1 836,00"
1988年08月,France (Customs):Austria,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"9 200,00"
,France (Customs):Albania,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"12 060,00"
,France (Customs):Armenia,<Submitted Budget(Dec)> FY2022_Plan (Annual),476
,France (Customs):Algeria,<Submitted Budget(Dec)> FY2023_Plan (Annual),"7 635,84"
,France:Uruguay,<Final Budget(Dec)> FY2020_Final Budget (Annual),"11 252,00"
,France:United Kingdom,<Final Budget(Dec)> FY2021_Final Budget (Annual),"40 320,00"
,France:Turkey,<Final Budget(Dec)> FY2022_Plan (Annual),"1 944,00"
,France:Tunisia,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"3 936,00"
1994年07月,France:Switzerland,<Final Budget(Apr)> FY2020_Final Budget (Annual),"24 220,00"
,France:Sweden,<Final Budget(Apr)> FY2021_Final Budget (Annual),"30 624,00"
,France:Spain,<Final Budget(Apr)> FY2022_Plan (Annual),"12 060,00"
2003年03月,France:Slovenia,<Final Budget(Apr)> FY2023_Plan (Annual),"12 760,00"
,France:Singapore,<Actual> May (QTD) (FY2020),"12 760,00"
,France:Senegal,<Actual> June (QTD) (FY2020),"12 060,00"
2004年01月,France:Sierra Leone,<Actual> July (QTD) (FY2020),"536 256,00"
,France:Saudi Arabia,<Actual> August (QTD) (FY2020),"7 872,00"
,France:Romania,<Actual> September (QTD) (FY2020),"60 480,00"
2003年07月,France:Portugal,<Actual> October (QTD) (FY2020),"5 800,00"
,France:Poland,<Actual> November (QTD) (FY2020),638
,France:Netherlands,<Actual> December (QTD) (FY2020),"23,54"
2002年12月,France:New Caledonia,<Actual> January (QTD) (FY2020),"7 872,00"
,France:Morocco,<Actual> February (QTD) (FY2020),"2 900,00"
1996年11月,France:Luxembourg,<Actual> March (QTD) (FY2020),"5 800,00"
,France:Italy,<Actual> April (QTD) (FY2021),"7 872,00"
,France:Israel,<Actual> May (QTD) (FY2021),"68 544,00"
1999年04月,France:Libya,<Actual> June (QTD) (FY2021),"13 120,00"
2005年02月,France:Kuwait,<Actual> July (QTD) (FY2021),"6 560,00"
2006年12月,France:Ireland,<Actual> August (QTD) (FY2021),"12 760,00"
,France:Hungary,<Actual> September (QTD) (FY2021),"5 800,00"
2006年12月,France:Guinea,<Actual> October (QTD) (FY2021),"8 700,00"
1976年07月,France:Germany,<Actual> November (QTD) (FY2021),"19 140,00"
,France:French Polynesia,<Actual> December (QTD) (FY2021),"9 648,00"
2008年04月,France:Faroe Islands,<Actual> January (QTD) (FY2021),"14 472,00"
,France:Finland,<Actual>February (QTD) (FY2021),0
2011年12月,France:Djibouti,<Submitted Budget(Dec)> FY2019_Prospect (Annual),0
2007年01月,France:Denmark,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"27 930,00"
,France:Czech Republic,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"3 192,00"
,France:Cameroon,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"1 944,00"
,France:Belgium,<Submitted Budget(Dec)> FY2022_Plan (Annual),"1 295,00"
,France:Austria,<Submitted Budget(Dec)> FY2023_Plan (Annual),"4 920,00"
,France:Belarus,<Final Budget(Dec)> FY2020_Final Budget (Annual),"9 840,00"
,France:Albania,<Final Budget(Dec)> FY2021_Final Budget (Annual),"10 500,00"
,France:Algeria,<Final Budget(Dec)> FY2022_Plan (Annual),"1 250,00"
